69,Merck & Co.,Pharmaceutical industry,"46,840",10.70%,"71,000","Kenilworth, New Jersey"
70,American Airlines,Airlines,"45,768",2.80%,"133,700","Fort Worth, Texas"
71,Charter Communications,Telecommunications,"45,764",4.90%,"95,100","Stamford, Connecticut"
72,Allstate,Insurance,"44,675",12.20%,"46,035","Northfield Township, Cook County, Illinois"
73,New York Life Insurance Company,Insurance,"44,117",1.60%,"11,519","New York City, New York"
74,Nationwide Mutual Insurance Company,Financial,"43,982",1.60%,"28,114","Columbus, Ohio"
75,Best Buy,Retail,"43,638",1.80%,"125,000","Richfield, Minnesota"
76,United Airlines Holdings,Airlines,"43,259",4.70%,"96,000","Chicago, Illinois"
77,Liberty Mutual Group,Insurance,"43,228",1.30%,"45,000","Boston, Massachusetts"
78,Dow Chemical Company,Chemical industry,"42,951",...,"36,500","Midland, Michigan"
79,Tyson Foods,Food Processing,"42,405",5.90%,"141,000","Springdale, Arkansas"
80,TJX,Retail,"41,717",7.00%,"286,000","Framingham, Massachusetts"
81,TIAA,Insurance,"40,454",1.50%,"16,533","New York City, New York"
82,Oracle Corporation,Software,"39,506",0.80%,"136,000","Austin, Texas"
83,General Dynamics,Airspace and defense,"39,350",8.70%,"102,900","Reston, Virginia"
84,John Deere,Agriculture manufacturing,"39,258",5.10%,"73,489","Moline, Illinois"
85,"Nike, ",Apparel,"39,117",7.50%,"76,700","Beaverton, Oregon"
86,Progressive Corporation,Insurance,"39,022",22.00%,"41,571","Mayfield Village, Ohio"
87,Publix,Retail,"38,463",5.70%,"207,000","Lakeland, Florida"
88,Coca-Cola Company,Beverages,"37,266",17.00%,"86,200","Atlanta, Georgia"
89,Massachusetts Mutual Life Insurance Company,Insurance,"37,253",5.10%,"9,896","Springfield, Massachusetts"
90,Tech Data,Information technology,"36,998",0.60%,"15,000","Clearwater, Florida"
91,World Fuel Services,Energy,"36,819",7.40%,"5,500","Miami, Florida"
92,Honeywell,Manufacturing,"36,709",12.20%,"113,000","Charlotte, North Carolina"
93,ConocoPhillips,Petroleum industry,"36,670",5.30%,"10,400","Houston, Texas"
94,USAA,Financials,"35,617",13.50%,"35,076","San Antonio, Texas"
95,Exelon,Electrical Power,"34,438",4.30%,"32,713","Chicago, Illinois"
96,Northrop Grumman,Aerospace and Defense,"33,841",12.40%,"90,000","West Falls Church, Virginia"
97,Capital One,Banking,"33,766",4.30%,"51,900","McLean, Virginia"
98,Plains All American Pipeline,Petroleum industry,"33,669",1.10%,"5,000","Houston, Texas"
99,AbbVie,Pharmaceutical industry,"33,266",1.60%,"30,000","Lake Bluff, Illinois"
100,StoneX Group ,Financials,"32,897",19.10%,"2,012","New York City, New York"
101,Enterprise Products,Petroleum industry,"32,789",10.30%,"7,300","Houston, Texas"
102,Northwestern Mutual,Insurance,"32,294",10.90%,"5,964","Milwaukee, Wisconsin"
103,3M,Manufacturing,"32,136",1.90%,"96,163","Maplewood, Minnesota"
104,Abbott Laboratories,Medical devices,"31,904",4.30%,"107,000","Chicago, Illinois"
105,CHS ,Agriculture cooperative,"31,901",2.40%,"10,703","Inver Grove Heights, Minnesota"
106,The Travelers Companies,Insurance,"31,581",4.30%,"30,800","Hartford, Connecticut"
107,"Tesla, ",Automotive,"31,536",14.50%,"48,016","Palo Alto, California"
108,Philip Morris International,Tobacco,"29,805",0.60%,"73,500","New York City, New York"
109,Raytheon Company,Airspace and defense,"29,176",7.80%,"70,000","Waltham, Massachusetts"
110,Hewlett Packard Enterprise,Technology,"29,135",5.60%,"61,600","Houston, Texas"
111,Arrow Electronics,Electronics,"28,917",2.60%,"19,300","Centennial, Colorado"
112,ViacomCBS,Media,"27,812",91.60%,"26,280","New York City, New York"
113,Dollar General,Retail,"27,754",8.30%,"143,000","Goodlettsville, Tennessee"
114,U.S. Bancorp,Banking,"27,325",6.00%,"69,651","Minneapolis, Minnesota"
115,Starbucks,Food Services,"26,509",7.20%,"346,000","Seattle, Washington"
116,Bristol-Myers Squibb,Pharmaceutical industry,"26,145",15.90%,"30,000","New York City, New York"
117,US Foods,Food distribution,"25,939",7.30%,"28,000","Rosemont, Illinois"
118,Mondelez International,Food processing,"25,868",0.30%,"80,000","Chicago, Illinois"
119,Paccar,Automotive,"25,600",9.00%,"27,000","Bellevue, Washington"
120,Thermo Fisher Scientific,Laboratory instruments,"25,542",4.90%,"75,000","Waltham, Massachusetts"
121,"Macy's, ",Retail,"25,331",1.60%,"123,000","Cincinnati, Ohio"
