336,Edward Jones Investments,Financials,"9,526",10.80%,"49,000","St Louis, Missouri"
337,Hormel,Food processing,"9,497",0.50%,"18,800","Austin, Minnesota"
338,Hilton Worldwide,Hospitality,"9,452",6.10%,"173,000","Tysons Corner, Virginia"
339,Univar Solutions,Chemical industry,"9,444",9.40%,"10,300","Chicago, Illinois"
340,United Rentals,Rental equipment,"9,351",16.20%,"19,100","Stamford, Connecticut"
341,Pioneer Natural Resources,Petroleum industry,"9,304",1.20%,"2,323","Irving, Texas"
342,Delek US,Petroleum industry,"9,298",9.40%,"3,707","Brentwood, Tennessee"
343,Eastman Chemical Company,Chemical industry,"9,273",8.60%,"14,500","Kingsport, Tennessee"
344,Emcor,Engineering,"9,175",12.80%,"36,000","Norwalk, Connecticut"
345,Avis Budget Group,Car rental,"9,172",0.50%,"25,600","Parsippany, New Jersey"
346,J. B. Hunt,Transportation,"9,165",6.40%,"29,056","Lowell, Arkansas"
347,Xerox,Technology,"9,145",7.00%,"27,000","Norwalk, Connecticut"
348,Wayfair,Retail,"9,127",34.60%,"16,985","Boston, Massachusetts"
349,Kohlberg Kravis Roberts,Financials,"9,120",74.60%,"1,384","New York City, New York"
350,AGCO,Agricultural equipment,"9,041",3.30%,"20,961","Duluth, Georgia"
351,Alleghany Corporation,Insurance,"9,041",31.30%,"10,786","New York City, New York"
352,Icahn Enterprises,Conglomerate,"8,992",52.60%,"28,033","New York City, New York"
353,Voya Financial,Financials,"8,942",0.10%,"6,000","New York City, New York"
354,Ryder,Transportation,"8,926",6.10%,"39,900","Miami, Florida"
355,Air Products & Chemicals,Chemical industry,"8,919",0.10%,"17,570","Allentown, Pennsylvania"
356,The Mosaic Company,Fertilizer,"8,906",7.10%,"12,600","Tampa, Florida"
357,Huntington Ingalls Industries,Defense industry,"8,899",8.80%,"42,000","Newport News, Virginia"
358,Berry Global,Packaging,"8,878",12.80%,"48,000","Evansville, Indiana"
359,Anixter,Distribution,"8,846",5.30%,"9,400","Glenview, IL"
360,Alaska Air Group,Airlines,"8,781",6.30%,"24,134","SeaTac, Washington"
361,Yum China,Food chain,"8,776",4.30%,"450,500","Plano, Texas"
362,Dick's Sporting Goods,Retail,"8,751",3.70%,"28,450","Coraopolis, Pennsylvania"
363,Caesars Entertainment,Casinos and Resorts,"8,742",4.20%,"64,000","Reno, Nevada"
364,Genworth Financial,Financials,"8,681",3.00%,"3,100","Richmond, Virginia"
365,Targa Resources,Petroleum industry,"8,671",17.30%,"2,680","Houston, Texas"
366,"Coty, ",Cosmetics,"8,649",8.00%,"19,000","New York City, New York"
367,Dana Incorporated,Automotive,"8,620",5.90%,"36,300","Maumee, Ohio"
368,Thrivent Financial,Insurance,"8,612",0.30%,"3,235","Minneapolis, Minnesota"
369,Autoliv,Automotive,"8,548",12.80%,"61,957","Auburn Hills, Michigan"
370,SpartanNash,Food distribution,"8,536",5.80%,"13,800","Byron Center, Michigan"
371,Eversource Energy,Electric Utility,"8,527",0.90%,"8,234","Boston, Massachusetts"
372,Darden Restaurants,Restaurants,"8,510",5.30%,"184,514","Orlando, Florida,"
373,Chesapeake Energy,Petroleum industry,"8,489",17.00%,"2,300","Oklahoma City, Oklahoma"
374,NOV ,Petroleum industry,"8,479",0.30%,"34,645","Houston, Texas"
375,Fidelity National Financial,Financials,"8,469",11.50%,"23,484","Jacksonville, Florida"
376,Erie Insurance Group,Insurance,"8,443",5.10%,"5,778","Erie, Pennsylvania"
377,Oshkosh Corporation,Automotive,"8,382",8.80%,"15,400","Oshkosh, Wisconsin"
378,Casey's General Stores,Retail,"8,365",11.90%,"26,866","Ankeny, Iowa"
379,WESCO International,Distribution,"8,359",2.20%,"9,500","Pittsburgh, Pennsylvania"
380,Tractor Supply Company,Retail,"8,352",5.60%,"24,000","Brentwood, Tennessee"
381,CommScope,Telecommunications,"8,345",82.70%,"30,000","Hickory, North Carolina"
382,Huntsman Corporation,Chemical industry,"8,342",27.60%,"10,000","The Woodlands, Texas"
383,American Financial Group,Financials,"8,237",15.20%,"7,700","Cincinnati, Ohio"
384,Masco,Distribution,"8,235",1.50%,"22,000","Livonia, Michigan"
385,Sanmina Corporation,Electronic manufacturing service,"8,234",15.80%,"38,500","San Jose, California"
386,Amphenol,Cables manufacturing,"8,225",0.30%,"74,000","Wallingford, Connecticut"
387,Williams Companies,Petroleum industry,"8,201",5.60%,"4,812","Tulsa, Oklahoma"
388,Westinghouse Air Brake Company,Machinery,"8,200",87.90%,"27,500","Pittsburgh, Pennsylvania"
389,Expeditors International,Transportation,"8,175",0.50%,"18,000","Seattle, Washington"
390,The Andersons,Food production,"8,170",168.30%,"2,284","Maumee, Ohio"
391,Westlake Chemical,Chemical industry,"8,118",6.00%,"9,430","Houston, Texas"
392,Constellation Brands,Beverages,"8,116",7.00%,"9,800","Victor, New York"
393,Frontier Communications,Telecommunications,"8,107",5.90%,"18,317","Norwalk, Connecticut"
394,JetBlue,Airlines,"8,094",5.70%,"19,032","New York City, New York"
395,Citizens Financial Group,Financials,"8,066",9.70%,"17,997","Providence, Rhode Island,"
396,Raymond James Financial,Financials,"8,023",7.30%,"14,200","St. Petersburg, Florida"
397,Foot Locker,Sports retailer,"8,005",0.80%,"33,294","New York City, New York"
398,The Hershey Company,Food processing,"7,986",2.50%,"15,330","Hershey, Pennsylvania"
399,Zimmer Biomet,Manufacturing,"7,982",0.60%,"19,900","Warsaw, Indiana,"
400,Cincinnati Financial,Financials,"7,924",46.50%,"5,200","Cincinnati, Ohio"
401,Western & Southern Financial Group,Insurance,"7,921",9.90%,"2,787","Cincinnati, Ohio"
402,W. R. Berkley,Insurance,"7,902",2.70%,"7,493","Greenwich, Connecticut"
403,Motorola Solutions,Manufacturing,"7,887",7.40%,"17,000","Chicago, Illinois"
404,Thor Industries,Manufacturing,"7,865",5.60%,"21,750","Elkhart, Indiana,"
405,Regeneron Pharmaceuticals,Pharmaceutical industry,"7,863",12.70%,"8,100","Victor, New York"
406,Spirit AeroSystems,Aerospace,"7,863",8.90%,"18,200","Wichita, Kansas,"
407,The J.M. Smucker Company,Food processing,"7,838",6.50%,"7,400","Orrville, Ohio"
408,PPL Corporation,Electric utility,"7,769",0.20%,"12,280","Allentown, Pennsylvania"
409,Insight Enterprises,Information technology,"7,731",9.20%,"11,261","Tempe, Arizona"
410,Quest Diagnostics,Diagnostics,"7,726",2.60%,"47,000","Secaucus, New Jersey"
411,KeyBank,Banking,"7,694",4.10%,"17,045","Cleveland, Ohio"
412,Veritiv,Paper and Packaging,"7,659",11.90%,"8,000","Atlanta, Georgia"
413,DCP Midstream Partners,Petroleum industry,"7,625",22.40%,"2,250","Denver, Colorado"
414,American Tower,Communications,"7,580",1.90%,"5,454","Boston, Massachusetts"
415,Graybar,Electrical equipment,"7,524",4.50%,"9,000","Clayton, Missouri"
416,WEC Energy Group,Electric Utility,"7,523",2.00%,"7,509","Milwaukee, Wisconsin"
417,"NVR, ",Construction,"7,428",3.30%,"5,700","Irvine, California"
418,Ulta Beauty,Cosmetics,"7,398",10.10%,"31,000","Bolingbrook, Illinois"
419,Devon Energy,Petroleum industry,"7,372",31.30%,"1,800",Oklahoma City
420,The Blackstone Group,Financials,"7,338",7.40%,"2,905","New York City, New York"
421,Dean Foods,Food Processing,"7,329",5.50%,"14,500","Dallas, Texas,"
422,Fortive,Machinery,"7,326",1.70%,"25,000","Everett, Washington"
423,UGI Corporation,Energy,"7,320",4.30%,"12,800","King of Prussia, Pennsylvania"
424,Burlington,Retail,"7,286",9.30%,"47,000","Burlington, New Jersey"
425,Builders FirstSource,Building materials,"7,280",5.80%,"15,800","Dallas, Texas,"
426,Toll Brothers,Construction,"7,224",1.10%,"5,100","Horsham, Pennsylvania"
427,Old Republic International,Insurance,"7,214",19.80%,"9,000","Chicago, Illinois"
428,Asbury Automotive Group,Auto retailer,"7,210",4.90%,"8,500","Duluth, Georgia"
429,Arthur J. Gallagher & Co.,Insurance,"7,195",3.80%,"33,247","Meadows, Illinois"
430,MasTec,Engineering construction,"7,183",4.00%,"21,000","Coral Gables, Florida"
431,Owens Corning,Manufacturing,"7,160",1.50%,"19,000","Toledo, Ohio"
432,Magellan Health,Healthcare,"7,159",2.10%,"10,100","Phoenix, Arizona"
433,Dover Corporation,Manufacturing,"7,136",3.50%,"24,000","Chicago, Illinois"
434,Beacon Building Products,Building materials,"7,105",10.70%,"8,147","Herndon, Virginia,"
435,Avery Dennison,Packaging,"7,070",1.20%,"30,000","Glendale, California"
436,Hanesbrands,Clothing,"6,967",2.40%,"63,000","Winston-Salem, North Carolina"
437,Packaging Corporation of America,Manufacturing,"6,964",0.70%,"15,500","Chicago, Illinois"
438,M&T Bank,Financials,"6,941",7.50%,"17,386","Buffalo, New York"
439,NCR Corporation,Technology,"6,915",8.00%,"36,000","Atlanta, Georgia"
440,Northern Trust,Financials,"6,895",3.50%,"19,800","Chicago, Illinois"
441,Cintas,Manufacturing service,"6,892",6.20%,"45,000","Cincinnati, Ohio"
442,Polaris ,Manufacturing,"6,863",11.30%,"14,000","Medina, Minnesota"
443,CMS Energy,Electric Utility,"6,845",0.40%,"8,459","Jackson, Michigan"
444,Seaboard Corporation,Food production,"6,840",3.90%,"13,100","Merriam, Kansas"
445,Intuit,Technology,"6,784",13.70%,"9,400","Mountain View, California"
446,Regions Financial Corporation,Financials,"6,755",0.10%,"19,564","Birmingham, Alabama"
447,FM Global,Insurance,"6,743",24.20%,"5,591","Johnston, Rhode Island"
448,Advanced Micro Devices,Semiconductor,"6,731",4.00%,"11,400","Santa Clara, California"
449,Ovintiv,Petroleum industry,"6,726",13.30%,"2,571","Denver, Colorado"
450,Booz Allen Hamilton,Information technology,"6,704",8.60%,"26,100","McLean, Virginia"
451,S&P Global,Financials,"6,699",7.00%,"22,500","New York City, New York"
452,Rockwell Automation,Electrical equipment,"6,695",0.40%,"23,000","Milwaukee, Wisconsin"
453,O-I Glass,Manufacturing,"6,691",2.70%,"27,500","Perrysburg, Ohio"
454,Wynn Resorts,Hospitality,"6,611",1.60%,"30,200","Paradise, Nevada"
455,Securian Financial Group,Insurance,"6,601",20.10%,"6,400","Minneapolis, Minnesota"
456,Alliance Data,Technology,"6,581",15.50%,"8,500","Columbus, Ohio"
457,Brighthouse Financial,Financials,"6,554",26.90%,"1,330","Charlotte, North Carolina"
457,Weyerhaeuser,Forest and Paper Products,"6,554",12.30%,"9,400","Seattle, Washington"
459,Intercontinental Exchange,Financial,"6,547",4.30%,"5,989","Atlanta, Georgia"
460,American Axle,Automotive,"6,531",10.20%,"20,000","Detroit, Michigan"
461,Hess Corporation,Petroleum industry,"6,510",0.70%,"1,775","New York City, New York"
462,ABM Industries,Facility Services,"6,499",0.90%,"140,000","New York City, New York"
463,Activision Blizzard,Video games,"6,489",13.50%,"9,200","Santa Monica, California"
464,GameStop,Retail,"6,466",26.90%,"30,000","Dallas, Texas,"
465,APA Corporation,Petroleum industry,"6,411",13.60%,"3,163","Houston, Texas"
466,Science Applications International Corporation,Information Technology Services,"6,379",36.90%,"24,311","Reston, Virginia"
467,AK Steel Holding,Metals,"6,359",6.70%,"9,300","West Chester, Ohio"
468,Dillard's,Retail,"6,343",2.50%,"30,400","Little Rock, Arkansas"
469,Ralph Lauren Corporation,Fashion,"6,313",2.10%,"18,650","New York City, New York"
470,Celanese,Chemical industry,"6,297",12.00%,"7,714","Irving, Texas"
471,RR Donnelley,Printing,"6,276",7.70%,"36,400","Chicago, Illinois"
472,Zoetis,Pharmaceutical industry,"6,260",7.50%,"10,600","Parsippany, New Jersey"
473,Ascena Retail Group,Retail,"6,243",5.10%,"33,000","Mahwah, New Jersey"
474,Clorox,Household products,"6,214",1.50%,"8,800","Oakland, California"
475,Ingredion,Food Processing,"6,209",6.30%,"11,000","Westchester, Illinois"
476,First American Financial,Insurance,"6,202",7.90%,"18,412","Santa Ana, California"
477,Graphic Packaging,Packaging,"6,160",2.30%,"18,000",Atlanta Georgia
478,HD Supply,Retail,"6,146",1.60%,"11,500",Atlanta Georgia
479,NetApp,Technology,"6,146",4.00%,"10,500","Sunnyvale, California"
480,TravelCenters of America,Retail,"6,117",12.30%,"18,594","Westlake, Ohio"
481,Olin Corporation,Chemical industry,"6,110",12.00%,"6,500","Clayton, Missouri"
482,Robert Half International,Professional services,"6,074",4.70%,"16,000","Menlo Park, California"
483,EnLink Midstream,Pipelines,"6,053",21.40%,"1,355","Dallas, Texas"
484,Avantor,Manufacturing,"6,040",3.00%,"12,000","Radnor, Pennsylvania"
485,"Tapestry, ",Apparel,"6,027",2.50%,"17,400","New York City, New York"
486,TD Ameritrade,Online broker,"6,016",10.30%,"9,226","Omaha, Nebraska"
487,Analog Devices,Manufacturing,"5,991",3.40%,"16,400","Greeley, Colorado"
488,Ameren,Electric utility,"5,910",6.10%,"9,323","St. Louis, Missouri"
489,"Williams-Sonoma, ",Retail,"5,898",4.00%,"19,300","San Francisco, California"
490,Realogy,Real estate,"5,870",3.40%,"10,150","Madison, New Jersey"
491,Commercial Metals Company,Metals,"5,829",17.80%,"11,524","Irving, Texas"
492,Rush Enterprises,Auto retailer,"5,810",5.50%,"7,244","New Braunfels, Texas"
493,Franklin Templeton Investments,Financials,"5,775",8.60%,"9,597","San Mateo, California"
494,Fortune Brands Home & Security,Manufacturing,"5,765",5.10%,"24,700","Deerfield, Illinois"
495,Levi Strauss & Co.,Apparel,"5,763",3.40%,"15,800","San Francisco, California"
496,Crown Castle,Real estate,"5,763",7.30%,"5,100","Houston, Texas"
497,Simon Property Group,Real estate,"5,755",1.70%,"3,750","Indianapolis, Indiana"
498,Cerner,Healthcare,"5,693",6.10%,"27,400","North Kansas City, Missouri"
499,Post Holdings,Food processing,"5,681",9.20%,"10,100","St. Louis, Missouri"
500,Huntington Bancshares,Financials,"5,655",7.30%,"15,664","Columbus, Ohio"
